Sensor,Date_Time,Date,Time,Count
Flinders St-Spring St (West),2018-12-31T15:00:00Z,2019-01-01,2,67
Flinders St-Spark La,2018-12-31T15:00:00Z,2019-01-01,2,98
Southbank,2018-12-31T15:00:00Z,2019-01-01,2,2711
Queen St (West),2018-12-31T15:00:00Z,2019-01-01,2,370
Lygon St (East),2018-12-31T15:00:00Z,2019-01-01,2,29
Flinders St-Swanston St (West),2018-12-31T15:00:00Z,2019-01-01,2,451
Alfred Place,2018-12-31T15:00:00Z,2019-01-01,2,60
Lonsdale St-Spring St (West),2018-12-31T15:00:00Z,2019-01-01,2,50
Grattan St-Swanston St (West),2018-12-31T15:00:00Z,2019-01-01,2,21
Monash Rd-Swanston St (West),2018-12-31T15:00:00Z,2019-01-01,2,9
Tin Alley-Swanston St (West),2018-12-31T15:00:00Z,2019-01-01,2,10
Bourke Street Mall (North),2018-12-31T16:00:00Z,2019-01-01,3,382
Bourke Street Mall (South),2018-12-31T16:00:00Z,2019-01-01,3,194
Melbourne Central,2018-12-31T16:00:00Z,2019-01-01,3,NA
Town Hall (West),2018-12-31T16:00:00Z,2019-01-01,3,998
Princes Bridge,2018-12-31T16:00:00Z,2019-01-01,3,1045
Flinders Street Station Underpass,2018-12-31T16:00:00Z,2019-01-01,3,1769
Birrarung Marr,2018-12-31T16:00:00Z,2019-01-01,3,208
Webb Bridge,2018-12-31T16:00:00Z,2019-01-01,3,95
Southern Cross Station,2018-12-31T16:00:00Z,2019-01-01,3,111
Victoria Point,2018-12-31T16:00:00Z,2019-01-01,3,116
Waterfront City,2018-12-31T16:00:00Z,2019-01-01,3,29
New Quay,2018-12-31T16:00:00Z,2019-01-01,3,137
Flagstaff Station,2018-12-31T16:00:00Z,2019-01-01,3,NA
Sandridge Bridge,2018-12-31T16:00:00Z,2019-01-01,3,1358
State Library,2018-12-31T16:00:00Z,2019-01-01,3,309
Collins St (North),2018-12-31T16:00:00Z,2019-01-01,3,213
Collins Place (South),2018-12-31T16:00:00Z,2019-01-01,3,43
Collins Place (North),2018-12-31T16:00:00Z,2019-01-01,3,30
Chinatown-Swanston St (North),2018-12-31T16:00:00Z,2019-01-01,3,289
Chinatown-Lt Bourke St (South),2018-12-31T16:00:00Z,2019-01-01,3,208
Bourke St-Russell St (West),2018-12-31T16:00:00Z,2019-01-01,3,786
Flinders St-Elizabeth St (East),2018-12-31T16:00:00Z,2019-01-01,3,NA
Spencer St-Collins St (South),2018-12-31T16:00:00Z,2019-01-01,3,133
Spencer St-Collins St (North),2018-12-31T16:00:00Z,2019-01-01,3,686
Melbourne Convention Exhibition Centre,2018-12-31T16:00:00Z,2019-01-01,3,797
QV Market-Elizabeth St (West),2018-12-31T16:00:00Z,2019-01-01,3,256
QV Market-Peel St,2018-12-31T16:00:00Z,2019-01-01,3,34
The Arts Centre,2018-12-31T16:00:00Z,2019-01-01,3,466
St Kilda Rd-Alexandra Gardens,2018-12-31T16:00:00Z,2019-01-01,3,288
Lonsdale St (South),2018-12-31T16:00:00Z,2019-01-01,3,474
Lygon St (West),2018-12-31T16:00:00Z,2019-01-01,3,29
City Square,2018-12-31T16:00:00Z,2019-01-01,3,NA
Flinders St-Spring St (West),2018-12-31T16:00:00Z,2019-01-01,3,56
Flinders St-Spark La,2018-12-31T16:00:00Z,2019-01-01,3,59
Southbank,2018-12-31T16:00:00Z,2019-01-01,3,1347
Queen St (West),2018-12-31T16:00:00Z,2019-01-01,3,141
Lygon St (East),2018-12-31T16:00:00Z,2019-01-01,3,29
Flinders St-Swanston St (West),2018-12-31T16:00:00Z,2019-01-01,3,340
Alfred Place,2018-12-31T16:00:00Z,2019-01-01,3,21
Lonsdale St-Spring St (West),2018-12-31T16:00:00Z,2019-01-01,3,27
Grattan St-Swanston St (West),2018-12-31T16:00:00Z,2019-01-01,3,8
Monash Rd-Swanston St (West),2018-12-31T16:00:00Z,2019-01-01,3,7
Tin Alley-Swanston St (West),2018-12-31T16:00:00Z,2019-01-01,3,9
Bourke Street Mall (North),2018-12-31T17:00:00Z,2019-01-01,4,165
Bourke Street Mall (South),2018-12-31T17:00:00Z,2019-01-01,4,106
Melbourne Central,2018-12-31T17:00:00Z,2019-01-01,4,NA
Town Hall (West),2018-12-31T17:00:00Z,2019-01-01,4,472
